id,probe,formula,status,value_or_observation
1,a,"=LET(a,201,a)",accepted,201
2,Z,"=LET(Z,202,Z)",accepted,202
3,Unicode Latin,"=LET(é,203,é)",accepted,203
4,Unicode Greek,"=LET(λ,204,λ)",accepted,204
5,Unicode CJK,"=LET(名,205,名)",accepted,205
6,_x,"=LET(_x,206,_x)",accepted,206
7,_,"=LET(_,207,_)",accepted,207
8,\x,"=LET(\x,208,\x)",accepted,208
9,\,"=LET(\,209,\)",accepted,209
10,foo_2,"=LET(foo_2,210,foo_2)",accepted,210
11,foo2,"=LET(foo2,211,foo2)",rejected,retained literal
12,abc123,"=LET(abc123,212,abc123)",rejected,retained literal
13,A1,"=LET(A1,213,A1)",rejected,retained literal
14,maximum A1 cell,"=LET(XFD1048576,214,XFD1048576)",rejected,retained literal
15,beyond maximum column,"=LET(XFE1,215,XFE1)",accepted,215
16,beyond maximum row,"=LET(XFD1048577,216,XFD1048577)",accepted,216
17,far beyond grid,"=LET(ZZZ9999999,217,ZZZ9999999)",accepted,217
18,R1C1,"=LET(R1C1,218,R1C1)",accepted,218
19,RC,"=LET(RC,219,RC)",accepted,219
20,R1C,"=LET(R1C,220,R1C)",accepted,220
21,RC1,"=LET(RC1,221,RC1)",rejected,retained literal
22,r,"=LET(r,222,r)",accepted,222
23,c,"=LET(c,223,c)",accepted,223
24,rr,"=LET(rr,224,rr)",accepted,224
25,cc,"=LET(cc,225,cc)",accepted,225
26,period,"=LET(a.b,226,a.b)",rejected,retained literal
27,leading period,"=LET(.x,227,.x)",rejected,retained literal
28,trailing period,"=LET(x.,228,x.)",rejected,retained literal
29,leading digit,"=LET(1x,229,1x)",rejected,retained literal
30,space,"=LET(a b,230,a b)",rejected,retained literal
31,minus operator,"=LET(a-b,231,a-b)",rejected,retained literal
32,plus operator,"=LET(a+b,232,a+b)",rejected,retained literal
33,leading @,"=LET(@x,233,@x)",rejected,retained literal
34,trailing #,"=LET(x#,234,x#)",rejected,retained literal
35,duplicate LET name,"=LET(x,1,x,235,x)",rejected,retained literal
36,nested shadowing,"=LET(x,1,LET(x,236,x))",accepted,236
37,duplicate LAMBDA parameter,"=LAMBDA(x,x,x)(1,237)",rejected,retained literal
38,ordinary inline LAMBDA,"=LAMBDA(x,x)(238)",accepted,238
39,A1-shaped LAMBDA parameter,"=LAMBDA(A1,A1)(239)",rejected,retained literal
40,c LAMBDA parameter,"=LAMBDA(c,c)(240)",accepted,240
41,dotted LAMBDA parameter,"=LAMBDA(a.b,a.b)(241)",rejected,retained literal
42,reference-valued binding,"=LET(x,$A$1,x)",accepted,17
43,A1-shaped reference binding,"=LET(A1,$A$1,A1)",rejected,retained literal
44,raw stored-style LET prefix,"=_xlfn.LET(_xlpm.x,301,_xlpm.x)",rejected,retained literal
45,raw stored-style LAMBDA prefix,"=_xlfn.LAMBDA(_xlpm.x,_xlpm.x)(302)",rejected,retained literal
46,raw stored-style A1 prefix,"=_xlfn.LET(_xlpm.A1,303,_xlpm.A1)",rejected,retained literal
47,nested distinct names,"=LET(x,1,LET(y,2,x+y))",accepted,3
48,case-insensitive duplicate,"=LET(x,1,X,2,x)",rejected,retained literal
49,case-insensitive inner shadowing,"=LET(x,1,LET(X,304,x))",accepted,304
